1	spouse	husband	wife	husband	wife	1
2	student	student	student	teacher	teacher	3
3	teacher	teacher	teacher	student	student	2
4	parent	father	mother	son	daughter	5
5	child	son	daughter	father	mother	4
6	classmate	classmate	classmate	classmate	classmate	6
7	grandparent	grandfather	grandmother	grandson	granddaughter	8
8	grandchild	grandson	granddaughter	grandfather	grandmother	7
9	parent-in-law	father-in-law	mother-in-law	son-in-law	daughter-in-law	10
10	child-in-law	son-in-law	daughter-in-law	father-in-law	mother-in-law	9
